Australian Bureau of Statistics

"2016 Census - Counting Dwellings, Place of Enumeration (MB)"
"LGA"
"Counting: Dwellings Location on Census Night"

Filters:
"Default Summation","Dwellings Location on Census Night"

"Counting","LGA","Count",
"Dwellings Location on Census Night","Alpine (S)",7239
"Dwellings Location on Census Night","Ararat (RC)",5407
"Dwellings Location on Census Night","Ballarat (C)",45230
"Dwellings Location on Census Night","Banyule (C)",50228
"Dwellings Location on Census Night","Bass Coast (S)",25813
"Dwellings Location on Census Night","Baw Baw (S)",20919
"Dwellings Location on Census Night","Bayside (C)",41092
"Dwellings Location on Census Night","Benalla (RC)",6812
"Dwellings Location on Census Night","Boroondara (C)",69419
"Dwellings Location on Census Night","Brimbank (C)",69274
"Dwellings Location on Census Night","Buloke (S)",3211
"Dwellings Location on Census Night","Campaspe (S)",16875
"Dwellings Location on Census Night","Cardinia (S)",35102
"Dwellings Location on Census Night","Casey (C)",102049
"Dwellings Location on Census Night","Central Goldfields (S)",6639
"Dwellings Location on Census Night","Colac-Otway (S)",11742
"Dwellings Location on Census Night","Corangamite (S)",7753
"Dwellings Location on Census Night","Darebin (C)",63556
"Dwellings Location on Census Night","East Gippsland (S)",24214
"Dwellings Location on Census Night","Frankston (C)",56938
"Dwellings Location on Census Night","Gannawarra (S)",5290
"Dwellings Location on Census Night","Glen Eira (C)",59814
"Dwellings Location on Census Night","Glenelg (S)",9951
"Dwellings Location on Census Night","Golden Plains (S)",8347
"Dwellings Location on Census Night","Greater Bendigo (C)",49089
"Dwellings Location on Census Night","Greater Dandenong (C)",54779
"Dwellings Location on Census Night","Greater Geelong (C)",106149
"Dwellings Location on Census Night","Greater Shepparton (C)",26963
"Dwellings Location on Census Night","Hepburn (S)",8707
"Dwellings Location on Census Night","Hindmarsh (S)",3042
"Dwellings Location on Census Night","Hobsons Bay (C)",37183
"Dwellings Location on Census Night","Horsham (RC)",9232
"Dwellings Location on Census Night","Hume (C)",67404
"Dwellings Location on Census Night","Indigo (S)",7036
"Dwellings Location on Census Night","Kingston (C)",63861
"Dwellings Location on Census Night","Knox (C)",59148
"Dwellings Location on Census Night","Latrobe (C)",34167
"Dwellings Location on Census Night","Loddon (S)",4173
"Dwellings Location on Census Night","Macedon Ranges (S)",18657
"Dwellings Location on Census Night","Manningham (C)",45408
"Dwellings Location on Census Night","Mansfield (S)",5950
"Dwellings Location on Census Night","Maribyrnong (C)",35738
"Dwellings Location on Census Night","Maroondah (C)",44501
"Dwellings Location on Census Night","Melbourne (C)",75805
"Dwellings Location on Census Night","Melton (C)",46705
"Dwellings Location on Census Night","Mildura (RC)",24104
"Dwellings Location on Census Night","Mitchell (S)",16324
"Dwellings Location on Census Night","Moira (S)",13794
"Dwellings Location on Census Night","Monash (C)",70623
"Dwellings Location on Census Night","Moonee Valley (C)",50167
"Dwellings Location on Census Night","Moorabool (S)",13123
"Dwellings Location on Census Night","Moreland (C)",70711
"Dwellings Location on Census Night","Mornington Peninsula (S)",89110
"Dwellings Location on Census Night","Mount Alexander (S)",9307
"Dwellings Location on Census Night","Moyne (S)",8072
"Dwellings Location on Census Night","Murrindindi (S)",7560
"Dwellings Location on Census Night","Nillumbik (S)",21755
"Dwellings Location on Census Night","Northern Grampians (S)",6116
"Dwellings Location on Census Night","Port Phillip (C)",57869
"Dwellings Location on Census Night","Pyrenees (S)",3579
"Dwellings Location on Census Night","Queenscliffe (B)",2807
"Dwellings Location on Census Night","South Gippsland (S)",15911
"Dwellings Location on Census Night","Southern Grampians (S)",8003
"Dwellings Location on Census Night","Stonnington (C)",54176
"Dwellings Location on Census Night","Strathbogie (S)",5681
"Dwellings Location on Census Night","Surf Coast (S)",18264
"Dwellings Location on Census Night","Swan Hill (RC)",9204
"Dwellings Location on Census Night","Towong (S)",3114
"Dwellings Location on Census Night","Wangaratta (RC)",13073
"Dwellings Location on Census Night","Warrnambool (C)",15183
"Dwellings Location on Census Night","Wellington (S)",22242
"Dwellings Location on Census Night","West Wimmera (S)",2238
"Dwellings Location on Census Night","Whitehorse (C)",65881
"Dwellings Location on Census Night","Whittlesea (C)",71013
"Dwellings Location on Census Night","Wodonga (C)",16517
"Dwellings Location on Census Night","Wyndham (C)",75310
"Dwellings Location on Census Night","Yarra (C)",44033
"Dwellings Location on Census Night","Yarra Ranges (S)",58971
"Dwellings Location on Census Night","Yarriambiack (S)",3565
"Dwellings Location on Census Night","Unincorporated Vic",1507
"Dwellings Location on Census Night","Migratory - Offshore - Shipping (Vic.)",11
"Dwellings Location on Census Night","Total",2525539

"Data source: Census of Population and Housing, 2016, TableBuilder"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data. No reliance should be placed on small cells."


"Copyright Commonwealth of Australia, 2021, see abs.gov.au/copyright"
"ABS data licensed under Creative Commons, see abs.gov.au/ccby"
